record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,form_1_complete
IZTECH_S006,,,,,,,,,,,,2
IZTECH_S006,ik_maruziyeti_gnl,2,1,5,84ED9FC0-F15E-11EF-B43A-8F2DCDE58AF7,"2025-02-22 23:49:33","2025-02-22 23:49:50",,1,"{    ""devicemanufacturer"": ""TECNO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-02-22 23:49:50"",    ""utcTime"": ""2025-02-22 20:49:33.116058Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""9"",    ""devicemodel"": ""TECNO KI7"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S006,ik_maruziyeti_gnl,3,1,5,E8F94420-F220-11EF-90A5-AB3ACB66A1C0,"2025-02-23 23:01:03","2025-02-23 23:01:12",,1,"{    ""devicemanufacturer"": ""TECNO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""13"",    ""syncdate"": ""2025-02-23 23:01:12"",    ""utcTime"": ""2025-02-23 20:01:03.330078Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""9"",    ""devicemodel"": ""TECNO KI7"",    ""percentComplete"": ""100""  }",result.zip,
