record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,deneyim_kayd_timestamp,exp_time,current,past,type,location,loc_spec,descr,feedback,identity___1,identity___2,identity___3,identity___4,identity___5,identity_spec,social_type___1,social_type___2,social_type___3,social_type___4,removal,future_use,uuid_2,startdate_2,enddate_2,scheduledate_2,status_2,supplementaldata_2,serializedresult_2,deneyim_kayd_complete
IZTECH_S011,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTECH_S011,deneyim_kayd,2,,,,,1,"2025-04-17 20:33",,1,1,,"arkadaşlarım ışık gözlüklerinin ne olduğunu sordu ",0,0,0,0,0,0,,0,0,0,0,0,"etkilemeyecek ",131E0AF0-1BB2-11F0-AFAD-B9055CD25845,"2025-04-17 20:33:28","2025-04-17 20:34:14",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-17 20:34:15"",    ""utcTime"": ""2025-04-17 17:33:28.735449Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.2.2"",    ""buildnumber"": ""162"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone12,5"",    ""percentComplete"": ""62""  }",result.zip,2
