record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,form_1_complete
IZTECH_S017,,,,,,,,,,,,2
IZTECH_S017,ik_maruziyeti_gnl,2,1,4,8463C660-3A88-11F0-96DB-519B98560F42,"2025-05-27 02:24:05","2025-05-27 02:24:31",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-27 02:24:31"",    ""utcTime"": ""2025-05-26 23:24:05.958915Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,3,1,5,53603390-3B88-11F0-984C-D55520FFAE6D,"2025-05-28 08:55:14","2025-05-28 08:55:31",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-28 08:55:32"",    ""utcTime"": ""2025-05-28 05:55:14.889414Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,4,1,4,0D2C73A0-3C07-11F0-931A-1B645642BBAF,"2025-05-29 00:02:23","2025-05-29 00:02:33",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-29 00:02:33"",    ""utcTime"": ""2025-05-28 21:02:23.193912Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,5,1,4,816174F0-3CCF-11F0-9A56-0D53FA1D6E71,"2025-05-29 23:57:17","2025-05-29 23:57:24",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-29 23:57:24"",    ""utcTime"": ""2025-05-29 20:57:17.503696Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,6,1,3,F741B210-3D93-11F0-B6D4-8795F4BC5ABE,"2025-05-30 23:23:36","2025-05-30 23:23:50",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-30 23:23:50"",    ""utcTime"": ""2025-05-30 20:23:36.625013Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,7,1,4,6A268A80-3E4D-11F0-87D8-3DD53D12C3F3,"2025-05-31 21:31:06","2025-05-31 21:31:22",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-05-31 21:31:23"",    ""utcTime"": ""2025-05-31 18:31:06.280217Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
IZTECH_S017,ik_maruziyeti_gnl,8,1,5,0C919520-3F26-11F0-ABFD-AB6B90B9A700,"2025-06-01 23:21:50","2025-06-01 23:22:05",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""15"",    ""syncdate"": ""2025-06-01 23:22:05"",    ""utcTime"": ""2025-06-01 20:21:50.066676Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.2"",    ""buildnumber"": ""171"",    ""configversion"": ""9"",    ""devicemodel"": ""SM-S911B"",    ""percentComplete"": ""100""  }",result.zip,
